alt_text,duration_ms,height,media_key,preview_image_url,public_metrics,type,url,width
,,673,3_1362338826446729217,,,photo,https://pbs.twimg.com/media/Euf_8dYUcAEDOW-.jpg,1200
,,1044,3_1361221576151171073,,,photo,https://pbs.twimg.com/media/EuQHz7sWgAEQ0ac.jpg,1079
,,675,3_1358085379539238912,,,photo,https://pbs.twimg.com/media/EtjjdQ4WgAAskGY.jpg,1200
,,1701,3_1355495332222787589,,,photo,https://pbs.twimg.com/media/Es-v0qvW4AUklAo.jpg,3024
,,2048,3_1353629140818259969,,,photo,https://pbs.twimg.com/media/EskOiCAW8AElJZs.jpg,4096
,,850,3_1352620253591851011,,,photo,https://pbs.twimg.com/media/EsV49ENXUAMZIAP.jpg,1280
,,2731,3_1352578276175306752,,,photo,https://pbs.twimg.com/media/EsVSxqJW4AATb0U.jpg,4096
,,587,3_1350837462537560065,,,photo,https://pbs.twimg.com/media/Er8jg9_XYAEBb06.jpg,880
,,588,3_1350837462562730024,,,photo,https://pbs.twimg.com/media/Er8jg-FXcCgTSHK.jpg,880
,,533,3_1351115224410173441,,,photo,https://pbs.twimg.com/media/EsAgI1mXMAEgu3H.png,800
,,700,3_1348980137883262976,,,photo,https://pbs.twimg.com/media/EriKSceW4AAQgJJ.jpg,1600
,,853,3_1348991722026622977,,,photo,https://pbs.twimg.com/media/EriU0uxW4AE36WH.jpg,1280
,,494,3_1347852579926106112,,,photo,https://pbs.twimg.com/media/ErSIx7wW4AAs-NB.jpg,820
,,596,3_1347512090764988418,,,photo,https://pbs.twimg.com/media/ErNTG2yXUAI58dY.jpg,750
,,675,3_1347504693317136385,,,photo,https://pbs.twimg.com/media/ErNMYRJW8AEcU-e.jpg,1200
,,800,3_1346416645389119488,,,photo,https://pbs.twimg.com/media/Eq9uziwXcAApf0g.jpg,1200
,,749,3_1346038374956720128,,,photo,https://pbs.twimg.com/media/Eq4WxTlW4AAhmSJ.jpg,1180
,,1600,3_1345651369299103746,,,photo,https://pbs.twimg.com/media/Eqy2ynKXUAIjL92.jpg,1200
,,407,3_1344997594129432578,,,photo,https://pbs.twimg.com/media/EqpkL43XAAIaS6K.jpg,610
,,361,3_1344364736377475074,,,photo,https://pbs.twimg.com/media/EqgkmuBXUAIy6t7.jpg,736
,,378,3_1343556594198585344,,,photo,https://pbs.twimg.com/media/EqVFmpzXIAAdpg9.jpg,827
,,1250,3_1340954311703080963,,,photo,https://pbs.twimg.com/media/EpwG14EXMAMzrh5.jpg,2048
,,400,3_1339254373822701568,,,photo,https://pbs.twimg.com/media/EpX8wd-XIAAZUu6.jpg,827
,,532,3_1338762546321502208,,,photo,https://pbs.twimg.com/media/EpQ9cVwXMAA0YWQ.jpg,828
,,1298,3_1338040105962008578,,,photo,https://pbs.twimg.com/media/EpGsYxsXcAI51HE.jpg,2048
,,976,3_1337424595096383490,,,photo,https://pbs.twimg.com/media/Eo98lVCXMAIE_Vk.jpg,1534
,,1364,3_1335701933970124800,,,photo,https://pbs.twimg.com/media/Eold1QQXcAArU7N.jpg,2048
,,820,3_1335701933978497026,,,photo,https://pbs.twimg.com/media/Eold1QSXMAI5mpw.jpg,640
